name,version,publisher,install_date,size_formatted,install_location
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030,11.0.61030,Microsoft Corporation,2021-02-25,1.95 MB,
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030,11.0.61030,Microsoft Corporation,2021-02-25,9.67 MB,
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030,11.0.61030,Microsoft Corporation,2021-02-25,1.73 MB,
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501,12.0.30501.0,Microsoft Corporation,,20.57 MB,
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664,12.0.40664.0,Microsoft Corporation,,20.57 MB,
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501,12.0.30501.0,Microsoft Corporation,,17.19 MB,
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664,12.0.40664.0,Microsoft Corporation,,17.19 MB,
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664,12.0.40664,Microsoft Corporation,2021-10-07,11.51 MB,
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664,12.0.40664,Microsoft Corporation,2021-10-07,2.46 MB,
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664,12.0.40664,Microsoft Corporation,2024-11-10,9.23 MB,
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664,12.0.40664,Microsoft Corporation,2024-11-10,2.03 MB,
Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810,14.40.33810.0,Microsoft Corporation,,20.66 MB,
Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810,14.40.33810.0,Microsoft Corporation,,18.10 MB,
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.40.33810,14.40.33810,Microsoft Corporation,2024-07-27,11.60 MB,
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.40.33810,14.40.33810,Microsoft Corporation,2024-07-27,2.32 MB,
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.40.33810,14.40.33810,Microsoft Corporation,2024-11-10,10.09 MB,
Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.40.33810,14.40.33810,Microsoft Corporation,2024-11-10,1.91 MB,
Microsoft Visual Studio Code (User),1.105.1,Microsoft Corporation,2025-10-28,434.32 MB,C:\Users\asus\AppData\Local\Programs\Microsoft VS Code\
Microsoft Visual Studio Tools for Applications 2019,16.0.28801,Microsoft Corporation,,16.42 MB,
Microsoft Visual Studio Tools for Applications 2019,16.0.31110,Microsoft Corporation,,14.20 MB,
Microsoft Visual Studio Tools for Applications 2019 x64 Hosting Support,16.0.31110,Microsoft Corporation,2023-01-11,2.46 MB,
Microsoft Visual Studio Tools for Applications 2019 x86 Hosting Support,16.0.31110,Microsoft Corporation,2023-01-11,3.00 MB,
Microsoft Windows Desktop Runtime - 8.0.8 (x64),64.32.18376,Microsoft Corporation,2025-01-24,89.93 MB,
Microsoft Windows Desktop Runtime - 8.0.8 (x64),8.0.8.33916,Microsoft Corporation,,217.16 MB,
Node.js,18.20.8,Node.js Foundation,2025-10-29,81.50 MB,
NordUpdater,1.4.6.971,Nord Security,2025-06-05,9.79 MB,C:\Program Files\NordUpdater\
NordVPN,7.32.5.0,Nord Security,2025-01-31,185.14 MB,C:\Program Files\NordVPN\
NotebookLM,1.0,Google\Chrome,2025-02-28,Unknown,
nptel-seekh-ui-electron-app 1.0.0,1.0.0,,,180.83 MB,
NvCpl,1.0,NVIDIA Corporation,2024-11-10,Unknown,C:\Program Files\NVIDIA Corporation\Installer2\Display.NvApp.NvCPL.{61C435C7-1413-4408-B589-9E8EF9F35370}
NVIDIA app 11.0.1.147,11.0.1.147,NVIDIA Corporation,2024-11-10,Unknown,C:\Program Files\NVIDIA Corporation\Installer2\Display.NvApp.{7CDB8882-83CA-4148-8112-E5B86603FF35}
NVIDIA Backend,11.0.1.147,NVIDIA Corporation,2024-11-10,Unknown,C:\Program Files\NVIDIA Corporation\Installer2\Display.NvApp.NvBackend.{D86A4ADA-DE82-4508-A950-C4C0B0573954}
NVIDIA Container,1.41,NVIDIA Corporation,2024-11-10,Unknown,C:\Program Files\NVIDIA Corporation\NvContainer
NVIDIA FrameView SDK 1.4.10624.35034762,1.4.10624.35034762,NVIDIA Corporation,2024-11-10,Unknown,C:\Program Files\NVIDIA Corporation\FrameViewSDK
NVIDIA Graphics Driver 565.90,565.90,NVIDIA Corporation,2025-08-22,Unknown,C:\Program Files\NVIDIA Corporation\Installer2\Display.Driver.{92C75F24-E32B-45C7-B8E8-3178622DC50B}
NVIDIA HD Audio Driver 1.4.2.6,1.4.2.6,NVIDIA Corporation,2024-11-10,Unknown,C:\Program Files\NVIDIA Corporation\Installer2\HDAudio.Driver.{5C59ED9A-5BF2-4366-9A64-84F8D9F655A0}
NVIDIA Install Application,2.1002.422.0,NVIDIA Corporation,2025-08-22,Unknown,C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore
NVIDIA LocalSystem Container,1.41,NVIDIA Corporation,2024-11-10,Unknown,C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.LocalSystem.{D3BB372C-1705-4B1B-B201-9142407C319F}
NVIDIA MessageBus 3 for NvApp,3.13,NVIDIA Corporation,2024-11-10,Unknown,C:\Program Files\NVIDIA Corporation\Installer2\Display.NvApp.MessageBus.{6BC4DA2A-179C-4A9D-9EA1-5EEDADBDC6CC}
NVIDIA NvDLISR,1.0,NVIDIA Corporation,2024-11-10,Unknown,C:\Program Files\NVIDIA Corporation\Installer2\NvDLISR.{AED754C8-813A-4769-A92E-291AABB043C5}
NVIDIA PhysX System Software 9.23.1019,9.23.1019,NVIDIA Corporation,2024-11-10,Unknown,C:\Program Files (x86)\NVIDIA Corporation\PhysX
NVIDIA Session Container,1.41,NVIDIA Corporation,2024-11-10,Unknown,C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.Session.{5B78BEF9-8E35-43B5-BE87-33F3AE6E7F08}
NVIDIA ShadowPlay 11.0.1.0,11.0.1.0,NVIDIA Corporation,2024-11-10,Unknown,C:\Program Files\NVIDIA Corporation\NVIDIA app\ShadowPlay
NVIDIA Telemetry Client,19.4.12.0,NVIDIA Corporation,2024-11-10,Unknown,C:\Program Files\NVIDIA Corporation\NvTelemetry
NVIDIA User Container,1.41,NVIDIA Corporation,2024-11-10,Unknown,C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.User.{A919B973-DCD4-4752-9C98-194B79249D80}
NVIDIA Virtual Audio 4.65.0.3,4.65.0.3,NVIDIA Corporation,2024-11-10,Unknown,C:\Program Files\NVIDIA Corporation\Installer2\VirtualAudio.Driver.{8928DDB0-990B-432B-9694-01F89FDBD985}
NVIDIA Watchdog Plugin for NvContainer,1.41,NVIDIA Corporation,2024-11-10,Unknown,C:\Program Files\NVIDIA Corporation\Installer2\NvPlugin.Watchdog.{019EAB65-EAE7-4DD8-872B-2436A8922AA1}
OBS Studio,32.0.1,OBS Project,,Unknown,
Office 16 Click-to-Run Extensibility Component,16.0.19328.20106,Microsoft Corporation,2025-11-03,37.43 MB,
Office 16 Click-to-Run Licensing Component,16.0.19029.20208,Microsoft Corporation,2025-08-24,10.64 MB,
Office 16 Click-to-Run Localization Component,16.0.14131.20278,Microsoft Corporation,2021-07-07,52 KB,
Ollama version 0.12.9,0.12.9,Ollama,2025-11-02,4.57 GB,C:\Users\asus\AppData\Local\Programs\Ollama\
Oracle VM VirtualBox 6.1.44,6.1.44,Oracle Corporation,2023-06-15,222.14 MB,
PostgreSQL 10 ,10,PostgreSQL Global Development Group,2021-10-08,607.95 MB,C:\Program Files\PostgreSQL\10
Postman x86_64 11.61.7,11.61.7,Postman,2025-09-05,136.21 MB,C:\Users\asus\AppData\Local\Postman
Python 3.10.10 (64-bit),3.10.10150.0,Python Software Foundation,,108.11 MB,
Python 3.10.10 Add to Path (64-bit),3.10.10150.0,Python Software Foundation,2023-02-20,48 KB,
Python 3.10.10 Core Interpreter (64-bit),3.10.10150.0,Python Software Foundation,2023-02-20,4.31 MB,
Python 3.10.10 Development Libraries (64-bit),3.10.10150.0,Python Software Foundation,2023-02-20,1.51 MB,
Python 3.10.10 Documentation (64-bit),3.10.10150.0,Python Software Foundation,2023-02-20,8.94 MB,
Python 3.10.10 Executables (64-bit),3.10.10150.0,Python Software Foundation,2023-02-20,1.82 MB,
